node_id,run_time,last_obs_time,horizon_step,horizon_minutes,forecast_time,pred,current,delta,expected_mae_node,confidence,pred_low,pred_high
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,67.36113,67.375,-0.013870239,5.112723,medium,62.248405,72.473854
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,67.39761,67.375,0.022613525,5.112723,medium,62.28489,72.51034
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,66.9747,67.375,-0.40029907,5.112723,medium,61.861977,72.087425
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,67.016785,67.375,-0.35821533,5.112723,medium,61.90406,72.12951
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,67.16502,67.375,-0.2099762,5.112723,medium,62.0523,72.27775
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,67.12061,67.375,-0.2543869,5.112723,medium,62.00789,72.23334
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,67.094604,67.375,-0.2803955,5.112723,medium,61.98188,72.20733
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,67.24117,67.375,-0.13382721,5.112723,medium,62.12845,72.3539
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,67.2444,67.375,-0.13059998,5.112723,medium,62.131676,72.357124
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,67.19003,67.375,-0.18496704,5.112723,medium,62.07731,72.30276
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,67.11195,67.375,-0.26304626,5.112723,medium,61.99923,72.22468
0,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,67.02132,67.375,-0.35368347,5.112723,medium,61.908592,72.13404
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,63.85071,63.75,0.10071182,3.6470182,high,60.203693,67.49773
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,63.890926,63.75,0.14092636,3.6470182,high,60.243908,67.53794
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,63.58731,63.75,-0.16268921,3.6470182,high,59.940292,67.23433
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,63.804955,63.75,0.05495453,3.6470182,high,60.157936,67.45197
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,63.753,63.75,0.002998352,3.6470182,high,60.10598,67.40002
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,64.07361,63.75,0.3236084,3.6470182,high,60.42659,67.72063
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,63.93813,63.75,0.18812943,3.6470182,high,60.29111,67.585144
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,64.02452,63.75,0.27452087,3.6470182,high,60.377502,67.67154
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,64.182175,63.75,0.43217468,3.6470182,high,60.535156,67.82919
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,64.296715,63.75,0.5467148,3.6470182,high,60.649696,67.94373
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,64.29522,63.75,0.5452194,3.6470182,high,60.6482,67.94224
1,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,64.35425,63.75,0.60424805,3.6470182,high,60.70723,68.00127
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,68.59464,68.625,-0.03035736,4.3604054,high,64.23424,72.95505
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,68.70454,68.625,0.07953644,4.3604054,high,64.34413,73.06494
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,68.541084,68.625,-0.08391571,4.3604054,high,64.18068,72.90149
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,68.532234,68.625,-0.09276581,4.3604054,high,64.17183,72.89264
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,68.33679,68.625,-0.288208,4.3604054,high,63.976387,72.6972
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,68.39758,68.625,-0.22741699,4.3604054,high,64.03718,72.75799
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,68.52976,68.625,-0.09523773,4.3604054,high,64.16936,72.89017
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,68.535965,68.625,-0.089035034,4.3604054,high,64.17556,72.89637
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,68.42178,68.625,-0.20321655,4.3604054,high,64.06138,72.78219
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,68.572525,68.625,-0.052474976,4.3604054,high,64.21212,72.93293
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,68.51603,68.625,-0.10897064,4.3604054,high,64.155624,72.876434
2,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,68.60784,68.625,-0.017158508,4.3604054,high,64.24744,72.96825
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,54.316437,54.125,0.19143677,5.0448284,medium,49.271606,59.361267
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,54.319195,54.125,0.1941948,5.0448284,medium,49.27437,59.36402
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,54.738373,54.125,0.6133728,5.0448284,medium,49.693542,59.783203
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,54.790215,54.125,0.66521454,5.0448284,medium,49.745384,59.835045
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,55.140415,54.125,1.0154152,5.0448284,medium,50.09559,60.18524
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,55.60871,54.125,1.4837112,5.0448284,medium,50.56388,60.65354
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,55.764763,54.125,1.6397629,5.0448284,medium,50.719933,60.809593
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,55.719765,54.125,1.5947647,5.0448284,medium,50.674934,60.764595
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,55.940193,54.125,1.8151932,5.0448284,medium,50.895363,60.985023
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,56.153885,54.125,2.028885,5.0448284,medium,51.109055,61.198715
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,56.214073,54.125,2.0890732,5.0448284,medium,51.169243,61.258904
3,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,55.95194,54.125,1.8269386,5.0448284,medium,50.907112,60.996765
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,0.08362961,0.0,0.08362961,6.4286685,low,-6.345039,6.512298
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,0.9323654,0.0,0.9323654,6.4286685,low,-5.496303,7.361034
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,0.8758049,0.0,0.8758049,6.4286685,low,-5.5528636,7.3044734
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,1.817585,0.0,1.817585,6.4286685,low,-4.6110835,8.246254
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,1.6979218,0.0,1.6979218,6.4286685,low,-4.7307467,8.126591
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,1.8512688,0.0,1.8512688,6.4286685,low,-4.5773997,8.279938
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,2.1728325,0.0,2.1728325,6.4286685,low,-4.255836,8.601501
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,3.1744385,0.0,3.1744385,6.4286685,low,-3.25423,9.603107
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,3.486332,0.0,3.486332,6.4286685,low,-2.9423366,9.915001
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,2.9600983,0.0,2.9600983,6.4286685,low,-3.4685702,9.388767
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,3.0215302,0.0,3.0215302,6.4286685,low,-3.4071383,9.450199
4,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,3.8458939,0.0,3.8458939,6.4286685,low,-2.5827746,10.274563
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,58.345444,58.25,0.095443726,6.255664,low,52.08978,64.601105
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,58.958046,58.25,0.70804596,6.255664,low,52.70238,65.21371
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,58.932316,58.25,0.6823158,6.255664,low,52.67665,65.18798
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,58.6925,58.25,0.44250107,6.255664,low,52.436836,64.948166
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,58.921467,58.25,0.6714668,6.255664,low,52.665802,65.17713
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,59.49627,58.25,1.2462692,6.255664,low,53.240604,65.75193
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,59.867035,58.25,1.6170349,6.255664,low,53.61137,66.122696
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,59.539597,58.25,1.2895966,6.255664,low,53.28393,65.79526
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,59.743656,58.25,1.4936562,6.255664,low,53.48799,65.99932
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,10,50,2012-06-27 22:45:00,59.690628,58.25,1.440628,6.255664,low,53.434963,65.94629
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,11,55,2012-06-27 22:50:00,59.737732,58.25,1.4877319,6.255664,low,53.482067,65.99339
5,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,12,60,2012-06-27 22:55:00,60.12468,58.25,1.8746796,6.255664,low,53.869015,66.38034
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,1,5,2012-06-27 22:00:00,58.87516,58.875,0.00016021729,5.1335135,medium,53.741646,64.008675
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,2,10,2012-06-27 22:05:00,59.27677,58.875,0.40177155,5.1335135,medium,54.143257,64.410286
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,3,15,2012-06-27 22:10:00,59.175907,58.875,0.30090714,5.1335135,medium,54.042393,64.30942
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,4,20,2012-06-27 22:15:00,59.68998,58.875,0.81497955,5.1335135,medium,54.556465,64.823494
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,5,25,2012-06-27 22:20:00,59.436356,58.875,0.5613556,5.1335135,medium,54.30284,64.56987
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,6,30,2012-06-27 22:25:00,59.923065,58.875,1.0480652,5.1335135,medium,54.78955,65.05658
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,7,35,2012-06-27 22:30:00,59.636517,58.875,0.7615166,5.1335135,medium,54.503002,64.77003
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,8,40,2012-06-27 22:35:00,60.058327,58.875,1.1833267,5.1335135,medium,54.924812,65.19184
6,2026-02-05 22:22:15.750357,2012-06-27 21:55:00,9,45,2012-06-27 22:40:00,60.093987,58.875,1.2189865,5.1335135,medium,54.960472,65.2275
