node_id,expected_mae_node,confidence
16,2.6737328,high
196,3.0016675,high
71,3.195709,high
99,3.3884122,high
107,3.4343598,high
203,3.5592527,high
173,3.5963423,high
123,3.6063025,high
27,3.6296792,high
1,3.6470182,high
171,3.6523442,high
44,3.6659832,high
177,3.695345,high
7,3.6973479,high
70,3.7670047,high
167,3.80259,high
184,3.8065422,high
156,3.86341,high
85,3.872056,high
45,3.8855627,high
202,3.9281206,high
29,3.9738386,high
152,4.0249634,high
92,4.0273166,high
10,4.110711,high
57,4.1182747,high
200,4.123179,high
153,4.138544,high
178,4.1405573,high
55,4.1588926,high
28,4.177825,high
201,4.1945395,high
110,4.202952,high
132,4.2333603,high
179,4.2681556,high
64,4.2682614,high
94,4.297871,high
118,4.3028436,high
183,4.3093586,high
21,4.312942,high
74,4.327759,high
18,4.336975,high
79,4.3595304,high
2,4.3604054,high
89,4.371002,high
35,4.376106,high
50,4.383227,high
90,4.4108953,high
108,4.442447,high
39,4.452014,high
22,4.458913,high
119,4.471689,high
169,4.4813075,high
147,4.4976974,high
59,4.519808,high
168,4.544662,high
19,4.55267,high
24,4.5530553,high
66,4.577775,high
46,4.579018,high
135,4.5973787,high
109,4.62916,high
67,4.6390185,high
114,4.691478,high
136,4.7101545,high
161,4.716111,high
68,4.716927,high
197,4.7185373,high
138,4.7248244,medium
37,4.7608514,medium
129,4.7682266,medium
189,4.772226,medium
154,4.772278,medium
204,4.7791367,medium
40,4.78455,medium
105,4.7897606,medium
93,4.804906,medium
78,4.8086514,medium
97,4.811258,medium
182,4.823879,medium
88,4.826218,medium
102,4.8294787,medium
104,4.834358,medium
122,4.83461,medium
91,4.842024,medium
11,4.850789,medium
98,4.872346,medium
128,4.873232,medium
34,4.901095,medium
185,4.987729,medium
198,4.996414,medium
33,4.9995317,medium
145,5.0365443,medium
3,5.0448284,medium
115,5.0607915,medium
176,5.0671015,medium
20,5.0763946,medium
117,5.0919185,medium
54,5.105028,medium
0,5.112723,medium
103,5.130015,medium
162,5.130708,medium
6,5.1335135,medium
65,5.1413307,medium
151,5.1512685,medium
31,5.1738315,medium
186,5.2193666,medium
13,5.257215,medium
49,5.293917,medium
81,5.2981467,medium
53,5.3008256,medium
121,5.304542,medium
106,5.3364635,medium
157,5.341182,medium
192,5.3474255,medium
149,5.379833,medium
17,5.3995748,medium
84,5.40842,medium
82,5.425663,medium
75,5.457714,medium
143,5.4715714,medium
188,5.4831195,medium
142,5.5159554,medium
41,5.5256658,medium
80,5.528082,medium
8,5.5331388,medium
111,5.5373473,medium
60,5.5832586,medium
56,5.59871,medium
9,5.667743,medium
101,5.6837482,medium
133,5.6841445,medium
116,5.6882586,medium
131,5.689839,medium
58,5.694604,medium
175,5.752325,medium
48,5.7554073,low
144,5.759999,low
36,5.7716403,low
42,5.788369,low
112,5.7943754,low
166,5.799217,low
199,5.8220167,low
63,5.8621273,low
195,5.883399,low
83,5.8936787,low
86,5.8993864,low
146,5.926696,low
158,5.9514956,low
126,5.967369,low
12,5.970433,low
32,6.049323,low
170,6.063092,low
205,6.1213717,low
134,6.1388717,low
193,6.194997,low
181,6.230789,low
5,6.255664,low
43,6.2609406,low
15,6.26223,low
164,6.2924542,low
141,6.341841,low
190,6.356264,low
130,6.397994,low
194,6.409928,low
26,6.4147844,low
4,6.4286685,low
73,6.4530487,low
52,6.463914,low
174,6.4972267,low
113,6.550942,low
69,6.5678844,low
87,6.5709352,low
95,6.571212,low
137,6.586926,low
14,6.593052,low
180,6.599794,low
47,6.601984,low
160,6.716273,low
125,6.72152,low
124,6.7281933,low
206,6.7399197,low
76,6.782653,low
191,6.8186827,low
120,6.8613296,low
187,6.948511,low
172,6.971625,low
150,7.0005937,low
100,7.0678525,low
72,7.115798,low
51,7.123031,low
139,7.1325717,low
30,7.1636457,low
148,7.2721853,low
23,7.3051343,low
155,7.4628277,low
77,7.6050606,low
163,7.653679,low
165,7.83465,low
140,7.845416,low
159,7.862909,low
25,7.871849,low
96,8.063925,low
61,8.273061,low
38,8.724074,low
127,8.829411,low
62,9.285354,low
