hour,horizon,sensor_idx,sensor_id,latitude,longitude,MAE,n_samples
0,5 min,0,773869.0,34.15497,-118.31829,1.0249,288
0,5 min,1,767541.0,34.11621,-118.23799,1.0088,288
0,5 min,2,767542.0,34.11641,-118.23819,17.4066,288
0,5 min,3,717447.0,34.07248,-118.26772,1.717,288
0,5 min,4,717446.0,34.07142,-118.26572,4.4477,288
0,5 min,5,717445.0,34.06913,-118.25932,3.7335,288
0,5 min,6,773062.0,34.05368,-118.23369,3.3415,288
0,5 min,7,767620.0,34.13486,-118.22932,1.4452,288
0,5 min,8,737529.0,34.20264,-118.47352,5.7017,288
0,5 min,9,717816.0,34.15562,-118.4686,7.7387,288
0,5 min,10,765604.0,34.16415,-118.38223,3.425,288
0,5 min,11,767471.0,34.15691,-118.22469,1.9262,288
0,5 min,12,716339.0,34.07821,-118.28795,15.442,288
0,5 min,13,773906.0,34.1566,-118.30266,1.1962,288
0,5 min,14,765273.0,34.18949,-118.47437,16.0498,288
0,5 min,15,716331.0,34.07006,-118.26246,5.3934,288
0,5 min,16,771667.0,34.07314,-118.23388,1.7407,288
0,5 min,17,716337.0,34.07732,-118.28186,2.3035,288
0,5 min,18,769953.0,34.20672,-118.19992,1.4854,288
0,5 min,19,769402.0,34.12095,-118.33911,2.3207,288
0,5 min,20,769403.0,34.12073,-118.33928,4.2147,288
0,5 min,21,769819.0,34.20584,-118.19803,1.2343,288
0,5 min,22,769405.0,34.12634,-118.34482,5.9902,288
0,5 min,23,716941.0,34.05767,-118.21435,4.6757,288
0,5 min,24,717578.0,34.15478,-118.27076,1.9613,288
0,5 min,25,716960.0,34.12121,-118.27164,7.1255,288
0,5 min,26,717804.0,34.09478,-118.47605,1.5727,288
0,5 min,27,767572.0,34.12967,-118.22871,1.264,288
0,5 min,28,767573.0,34.12964,-118.22901,11.8822,288
0,5 min,29,773012.0,34.0839,-118.22086,6.9133,288
0,5 min,30,773013.0,34.08374,-118.22076,3.7903,288
0,5 min,31,764424.0,34.17878,-118.39469,1.5931,288
0,5 min,32,769388.0,34.11027,-118.33441,2.3174,288
0,5 min,33,716328.0,34.06664,-118.25397,1.8532,288
0,5 min,34,717819.0,34.18784,-118.47407,1.3625,288
0,5 min,35,769941.0,34.20699,-118.20237,1.2276,288
0,5 min,36,760987.0,34.15359,-118.34043,1.0307,288
0,5 min,37,718204.0,34.15541,-118.29575,1.4232,288
0,5 min,38,718045.0,34.06712,-118.23973,14.3437,288
0,5 min,39,769418.0,34.12659,-118.34465,1.139,288
0,5 min,40,768066.0,34.15118,-118.3748,5.1792,288
0,5 min,41,772140.0,34.16498,-118.47493,6.9733,288
0,5 min,42,773927.0,34.15262,-118.28034,4.3619,288
0,5 min,43,760024.0,34.1593,-118.46483,6.7688,288
0,5 min,44,774012.0,34.14769,-118.20137,0.7268,288
0,5 min,45,774011.0,34.14747,-118.20123,0.758,288
0,5 min,46,767609.0,34.18555,-118.21733,1.2038,288
0,5 min,47,769359.0,34.1566,-118.42216,5.7105,288
0,5 min,48,760650.0,34.07505,-118.23256,12.8295,288
0,5 min,49,716956.0,34.10658,-118.25544,2.6373,288
0,5 min,50,769831.0,34.20663,-118.20101,1.2652,288
0,5 min,51,761604.0,34.15407,-118.28711,3.5979,288
0,5 min,52,717495.0,34.15664,-118.41326,6.4202,288
0,5 min,53,716554.0,34.15597,-118.2666,3.4954,288
0,5 min,54,773953.0,34.15522,-118.29344,1.5743,288
0,5 min,55,767470.0,34.15699,-118.22436,1.3337,288
0,5 min,56,716955.0,34.09579,-118.24427,3.2268,288
0,5 min,57,764949.0,34.12881,-118.34684,1.1314,288
0,5 min,58,773954.0,34.15544,-118.29344,2.3994,288
0,5 min,59,767366.0,34.21216,-118.47341,3.8624,288
0,5 min,60,769444.0,34.15555,-118.43908,5.1996,288
0,5 min,61,773939.0,34.15297,-118.37226,8.0386,288
0,5 min,62,774067.0,34.15362,-118.28441,4.9137,288
0,5 min,63,769443.0,34.15574,-118.43931,4.4885,288
0,5 min,64,767750.0,34.09335,-118.20635,7.0211,288
0,5 min,65,767751.0,34.09335,-118.20616,2.5163,288
0,5 min,66,767610.0,34.18555,-118.21766,0.7584,288
0,5 min,67,773880.0,34.15367,-118.3484,0.7378,288
0,5 min,68,764766.0,34.13338,-118.3535,9.0582,288
0,5 min,69,717497.0,34.15685,-118.41456,4.6774,288
0,5 min,70,717490.0,34.14745,-118.37124,8.2179,288
0,5 min,71,717491.0,34.14761,-118.3711,1.3155,288
0,5 min,72,717492.0,34.15459,-118.37935,2.8349,288
0,5 min,73,717493.0,34.15434,-118.39618,9.6383,288
0,5 min,74,765176.0,34.13286,-118.35135,1.0414,288
0,5 min,75,717498.0,34.15571,-118.43273,3.2739,288
0,5 min,76,717499.0,34.15666,-118.44808,7.5502,288
0,5 min,77,765171.0,34.16789,-118.46896,12.0732,288
0,5 min,78,718064.0,34.11296,-118.24489,15.6567,288
0,5 min,79,718066.0,34.12302,-118.22889,18.8932,288
0,5 min,80,765164.0,34.07898,-118.28911,1.9312,288
0,5 min,81,769431.0,34.15843,-118.45664,6.5089,288
0,5 min,82,769430.0,34.15818,-118.45658,7.2674,288
0,5 min,83,717610.0,34.17886,-118.39497,10.9416,288
0,5 min,84,767053.0,34.17091,-118.46775,11.9977,288
0,5 min,85,767621.0,34.13486,-118.22969,5.8174,288
0,5 min,86,772596.0,34.17126,-118.50495,5.7235,288
0,5 min,87,772597.0,34.17109,-118.50495,4.5603,288
0,5 min,88,767350.0,34.18011,-118.47045,16.6544,288
0,5 min,89,767351.0,34.18022,-118.47022,1.2909,288
0,5 min,90,716571.0,34.2,-118.40337,1.6107,288
0,5 min,91,773023.0,34.05773,-118.24348,6.0587,288
0,5 min,92,767585.0,34.16556,-118.22432,0.9888,288
0,5 min,93,773024.0,34.05759,-118.24357,2.9313,288
0,5 min,94,717483.0,34.11684,-118.33698,1.5464,288
0,5 min,95,718379.0,34.14224,-118.27812,12.6047,288
0,5 min,96,717481.0,34.10634,-118.32826,4.3509,288
0,5 min,97,717480.0,34.10478,-118.32497,1.57,288
0,5 min,98,717486.0,34.12974,-118.34809,6.2002,288
0,5 min,99,764120.0,34.20164,-118.40366,0.6665,288
0,5 min,100,772151.0,34.16928,-118.49872,6.2135,288
0,5 min,101,718371.0,34.09017,-118.23849,3.1202,288
0,5 min,102,717489.0,34.13876,-118.36438,5.6433,288
0,5 min,103,717488.0,34.13561,-118.36006,8.0681,288
0,5 min,104,717818.0,34.1722,-118.46753,1.8357,288
0,5 min,105,718076.0,34.16339,-118.2253,1.1182,288
0,5 min,106,718072.0,34.1491,-118.2257,1.2877,288
0,5 min,107,767455.0,34.14347,-118.22704,1.3614,288
0,5 min,108,767454.0,34.14352,-118.22733,1.0409,288
0,5 min,109,761599.0,34.14226,-118.27786,1.0975,288
0,5 min,110,717099.0,34.15648,-118.24674,4.7276,288
0,5 min,111,773916.0,34.15247,-118.2852,2.3037,288
0,5 min,112,716968.0,34.16588,-118.29809,2.2638,288
0,5 min,113,769467.0,34.15451,-118.39699,3.8971,288
0,5 min,114,717576.0,34.15559,-118.2957,1.5194,288
0,5 min,115,717573.0,34.15384,-118.325,0.9222,288
0,5 min,116,717572.0,34.15351,-118.32751,1.3738,288
0,5 min,117,717571.0,34.15326,-118.35921,2.4447,288
0,5 min,118,717570.0,34.15302,-118.35921,0.7216,288
0,5 min,119,764760.0,34.13401,-118.35506,1.0928,288
0,5 min,120,718089.0,34.12769,-118.27372,5.9563,288
0,5 min,121,769847.0,34.20983,-118.22351,1.1389,288
0,5 min,122,717608.0,34.17154,-118.38812,16.3969,288
0,5 min,123,767523.0,34.11439,-118.24209,0.6733,288
0,5 min,124,716942.0,34.0593,-118.21451,4.0116,288
0,5 min,125,718090.0,34.14847,-118.27969,13.7179,288
0,5 min,126,769867.0,34.21846,-118.23931,3.736,288
0,5 min,127,717472.0,34.10045,-118.31601,7.2238,288
0,5 min,128,717473.0,34.10054,-118.31581,1.335,288
0,5 min,129,759591.0,34.11521,-118.26825,1.7286,288
0,5 min,130,764781.0,34.16037,-118.47012,5.9433,288
0,5 min,131,765099.0,34.16378,-118.47224,3.3747,288
0,5 min,132,762329.0,34.13904,-118.22862,1.5065,288
0,5 min,133,716953.0,34.09458,-118.24279,2.7544,288
0,5 min,134,716951.0,34.08581,-118.23182,2.305,288
0,5 min,135,767509.0,34.11059,-118.24819,1.8019,288
0,5 min,136,765182.0,34.06491,-118.25126,1.399,288
0,5 min,137,769358.0,34.15679,-118.42222,4.6804,288
0,5 min,138,772513.0,34.06871,-118.23661,4.6714,288
0,5 min,139,716958.0,34.11167,-118.26501,9.3502,288
0,5 min,140,718496.0,34.15403,-118.34232,4.5034,288
0,5 min,141,769346.0,34.15677,-118.40424,7.6088,288
0,5 min,142,773904.0,34.15641,-118.30266,2.3476,288
0,5 min,143,718499.0,34.15469,-118.31253,1.7318,288
0,5 min,144,764853.0,34.06461,-118.25102,7.1374,288
0,5 min,145,761003.0,34.15546,-118.30841,2.2356,288
0,5 min,146,717502.0,34.16521,-118.47484,3.6823,288
0,5 min,147,759602.0,34.12199,-118.27178,1.8766,288
0,5 min,148,717504.0,34.16519,-118.49166,6.7557,288
0,5 min,149,763995.0,34.21979,-118.40931,1.2696,288
0,5 min,150,717508.0,34.17112,-118.51814,4.7261,288
0,5 min,151,765265.0,34.18529,-118.47395,8.9811,288
0,5 min,152,773996.0,34.14511,-118.21587,1.3972,288
0,5 min,153,773995.0,34.14483,-118.21587,1.1817,288
0,5 min,154,717469.0,34.0971,-118.31366,1.5945,288
0,5 min,155,717468.0,34.09699,-118.31381,8.3722,288
0,5 min,156,764106.0,34.17169,-118.38801,3.9423,288
0,5 min,157,717465.0,34.09373,-118.30907,1.6766,288
0,5 min,158,764794.0,34.16028,-118.46808,4.0262,288
0,5 min,159,717466.0,34.09359,-118.30918,8.5498,288
0,5 min,160,717461.0,34.08558,-118.30174,14.5624,288
0,5 min,161,717460.0,34.08571,-118.30161,2.0594,288
0,5 min,162,717463.0,34.09004,-118.3059,2.2854,288
0,5 min,163,717462.0,34.08993,-118.30607,13.8114,288
0,5 min,164,769345.0,34.15655,-118.40441,4.5866,288
0,5 min,165,716943.0,34.05987,-118.21492,4.3209,288
0,5 min,166,772669.0,34.07828,-118.22834,2.353,288
0,5 min,167,717582.0,34.15646,-118.26092,2.2449,288
0,5 min,168,717583.0,34.15627,-118.25506,0.9551,288
0,5 min,169,717580.0,34.1562,-118.26359,1.1819,288
0,5 min,170,716949.0,34.08406,-118.22974,6.8321,288
0,5 min,171,717587.0,34.15402,-118.23893,0.8309,288
0,5 min,172,772178.0,34.16903,-118.49885,5.8071,288
0,5 min,173,717585.0,34.15564,-118.24188,0.9693,288
0,5 min,174,716939.0,34.04301,-118.21724,10.0978,288
0,5 min,175,768469.0,34.13583,-118.35993,1.9709,288
0,5 min,176,764101.0,34.16421,-118.38246,15.6552,288
0,5 min,177,767554.0,34.11966,-118.23143,1.1673,288
0,5 min,178,773975.0,34.14584,-118.22251,1.7743,288
0,5 min,179,773974.0,34.14559,-118.22251,1.691,288
0,5 min,180,717510.0,34.17128,-118.51976,6.2714,288
0,5 min,181,717513.0,34.17339,-118.5368,6.0534,288
0,5 min,182,717825.0,34.22164,-118.47307,0.729,288
0,5 min,183,767495.0,34.10377,-118.24992,1.5975,288
0,5 min,184,767494.0,34.10377,-118.24962,1.4823,288
0,5 min,185,717821.0,34.20112,-118.47361,7.8371,288
0,5 min,186,717823.0,34.20264,-118.47326,1.168,288
0,5 min,187,717458.0,34.08265,-118.29755,14.6632,288
0,5 min,188,717459.0,34.08294,-118.29729,2.8056,288
0,5 min,189,769926.0,34.21356,-118.23113,1.0348,288
0,5 min,190,764858.0,34.1527,-118.3754,1.362,288
0,5 min,191,717450.0,34.07488,-118.27362,6.1345,288
0,5 min,192,717452.0,34.07502,-118.27356,1.7729,288
0,5 min,193,717453.0,34.07696,-118.28093,8.2763,288
0,5 min,194,759772.0,34.17115,-118.30539,3.3519,288
0,5 min,195,717456.0,34.08102,-118.29325,3.674,288
0,5 min,196,771673.0,34.07787,-118.22871,1.6204,288
0,5 min,197,772167.0,34.16526,-118.47985,8.3054,288
